Branch,Division,Group,Description,Qty,Total_Amount
Conut Jnah,Hot-Coffee Based,Hot-Coffee Based,FLAT WHITE,8.0,3
Conut Jnah,Hot-Coffee Based,Hot-Coffee Based,HOT CHOCOLATE COMBO,57.0,37
Conut Jnah,Hot-Coffee Based,Free Dressing,[CARAMEL DRESSING],71.0,0.00
Conut Jnah,Hot-Coffee Based,Free Dressing,[CHOCOLATE DRESSING],118.0,0.00
Conut Jnah,Hot-Coffee Based,Free Dressing,[NO DRESSING],143.0,0.00
Conut Jnah,Hot-Coffee Based,Free Dressing,[STRAWBERRY DRESSING],28.0,0.00
Conut Jnah,Hot-Coffee Based,Free Dressing,[SALTED CARAMEL DRESSING],16.0,0.00
Conut Jnah,Hot-Coffee Based,Free Whipped Cream,WHIPPED CREAM...,142.0,0.00
Conut Jnah,Hot-Coffee Based,Free Whipped Cream,NO WHIPPED CREAM,263.0,0.00
Conut Jnah,Hot-Coffee Based,CHIMNEY CAKE OPTIONS,PRESSED,244.0,0.00
Conut Jnah,Hot-Coffee Based,CHIMNEY CAKE OPTIONS,REGULAR,47.0,0.00
Conut Jnah,Hot-Coffee Based,OPTIONS ICE CREAM,ICE CREAM ON TOP,158.0,0.00
Conut Jnah,Hot-Coffee Based,OPTIONS ICE CREAM,ICE CREAM ON THE SIDE,289.0,0.00
Conut Jnah,Bev Add-ons,Bev Add-ons,CARAMEL  SAUCE,20.0,1
Conut Jnah,Bev Add-ons,Bev Add-ons,CHOCOLATE SAUCE,14.0,1
Conut Jnah,Bev Add-ons,Bev Add-ons,HAZELNUT SYRUP,2.0,180
Conut Jnah,Bev Add-ons,Bev Add-ons,VANILLA SYRUP,16.0,1
Conut Jnah,Bev Add-ons,Bev Add-ons,EXTRA ESPRESSO SHOT,2.0,180
Conut Jnah,Bev Add-ons,Bev Add-ons,SWEETENED CREAM,1.0,90
Conut Jnah,Bev Add-ons,Bev Add-ons,WHITE CHOCOLATE SAUCE,2.0,180
Conut Jnah,Bev Add-ons,Bev Add-ons,WHITE CHOCOLATE FLAVOUR,2.0,180
Conut Jnah,Bev Add-ons,Bev Add-ons,EXTRA DECAF ESPRESSO SHOT,1.0,90
Conut Jnah,Bev Add-ons,Bev Add-ons,STRAWBERRY DRESSING,1.0,90
Conut Jnah,Bev Add-ons,Bev Add-ons,SALTED CARAMEL SYRUP,2.0,180
Conut Jnah,Frappes,Frappes,MOCHA FRAPPE,24.0,12
Conut Jnah,Frappes,Frappes,CARAMEL MOCHA FRAPPE,16.0,8
Conut Jnah,Frappes,Frappes,HAZELNUT MOCHA FRAPPE,7.0,3
Conut Jnah,Frappes,Frappes,CARAMEL FRAPPE,81.0,43
Conut Jnah,Frappes,Frappes,VANILLA FRAPPE,11.0,5
Conut Jnah,Frappes,Frappes,WHITE MOCHA FRAPPE,11.0,5
Conut Jnah,Frappes,Frappes,HAZELNUT FRAPPE,7.0,3
Conut Jnah,Frappes,Frappes,MATCHA FRAPPE,10.0,6
Conut Jnah,Frappes,Frappes,SALTED CARAMEL FRAPPE,14.0,7
Conut Jnah,Frappes,Frappes,ESPRESSO FRAPPE,7.0,3
Conut Jnah,Frappes,Frappes,TOFFEE NUT FRAPPE,21.0,11
Conut Jnah,Shakes,Shakes,VANILLA MILKSHAKE,46.0,24
Conut Jnah,Shakes,Shakes,OREO MILKSHAKE,59.0,42
Conut Jnah,Shakes,Shakes,PEANUT BUTTER MILKSHAKE,2.0,1
Conut Jnah,Shakes,Shakes,STRAWBERRY MILKSHAKE,35.0,25
Conut Jnah,Shakes,Shakes,MATCHA MILKSHAKE,6.0,5
Conut Jnah,Shakes,Shakes,SALTED CARAMEL MILKSHAKE,12.0,9
Conut Jnah,Shakes,Shakes,PISTACHIO MILKSHAKE,11.0,9
Conut Jnah,Shakes,Shakes,GRANOLA BERRIES MILKSHAKE,4.0,3
Conut Jnah,Shakes,Shakes,DOUBLE CHOCOLATE MILKSHAKE,19.0,14
Conut Jnah,Shakes,Shakes,FRUIT LOOPS MILKSHAKE,3.0,2
Conut Jnah,Shakes,Shakes,TOFFEE NUT MILKSHAKE,1.0,774
Conut Jnah,Hot and Cold Drinks,Hot and Cold Drinks,ICED CHOCOLATE,11.0,4
Conut Jnah,Hot and Cold Drinks,Hot and Cold Drinks,WATER,2181.0,173
Conut Jnah,Hot and Cold Drinks,Hot and Cold Drinks,HOT MILK,17.0,3
Conut Jnah,Hot and Cold Drinks,Hot and Cold Drinks,VIA SPARKLING WATER,34.0,6
Conut Jnah,Hot and Cold Drinks,Hot and Cold Drinks,MANGO PASSION,44.0,18
Conut Jnah,Hot and Cold Drinks,Hot and Cold Drinks,MELON PASSION,16.0,6
Conut Jnah,Hot and Cold Drinks,Hot and Cold Drinks,WILD BERRIES,14.0,5
Conut Jnah,Hot and Cold Drinks,Hot and Cold Drinks,WILD BERRIES PASSION,4.0,1
Conut Jnah,Hot and Cold Drinks,TEA FLAVORS,EARL GREY,5.0,1
Conut Jnah,Hot and Cold Drinks,TEA FLAVORS,ENGLISH BREAKFAST,3.0,893
Conut Jnah,Hot and Cold Drinks,TEA FLAVORS,GREEN TEA,8.0,2
Conut Jnah,Hot and Cold Drinks,TEA FLAVORS,PEPPERMINT TEA,2.0,595
Conut Jnah,Hot and Cold Drinks,TEA FLAVORS,PEACH ICED TEA,35.0,14
Conut Jnah,Hot and Cold Drinks,TEA FLAVORS,RASPBERRY ICED TEA,12.0,5
Conut Jnah,Conuts,Conuts,NO CINNAMON,22.0,0.00
Conut Jnah,Extras and Sides,Extras and Sides,ADD ICE CREAM,276.0,131
Conut Jnah,Delivery Service,Delivery,DELIVERY CHARGE,270.0,64
Conut Jnah,Delivery Service,Delivery,SEND CUTLERY,7.0,0.00
Conut Jnah,Delivery Service,Delivery,DONT SEND CUTLERY,1.0,0.00
Conut Jnah,Delivery Service,Delivery,TAKE AWAY,620.0,0.00
Conut Jnah,Free Conut Spreads,Free Conut Spreads,NUTELLA SPREAD CONUT.,902.0,0.00
Conut Jnah,Free Conut Spreads,Free Conut Spreads,LOTUS SPREAD CONUT.,40.0,0.00
Conut Jnah,Free Conut Spreads,Free Conut Spreads,WHITE CHOCOLATE SPREAD CONUT.,217.0,0.00
Conut Jnah,Free Conut Spreads,Free Conut Spreads,PISTACHIO SPREAD CONUT.,2.0,60
Conut Jnah,Free Conut Spreads,Free Conut Spreads,NO SPREAD.,17.0,0.00
Conut Jnah,Free Chimney Cake Spreads,Free Chimney Cake Spreads,NUTELLA SPREAD CHIMNEY.,1248.0,0.00
Conut Jnah,Free Chimney Cake Spreads,Free Chimney Cake Spreads,LOTUS SPREAD CHIMNEY.,69.0,0.00
Conut Jnah,Free Chimney Cake Spreads,Free Chimney Cake Spreads,WHITE CHOCOLATE SPREAD CHIMNEY.,249.0,0.00
Conut Jnah,Free Chimney Cake Spreads,Free Chimney Cake Spreads,PISTACHIO SPREAD CHIMNEY.,21.0,1
Conut Jnah,Free Chimney Cake Spreads,Free Chimney Cake Spreads,NO SPREAD,76.0,0.00
Conut Jnah,Holder,Holders,ARGENTINA,1.0,0.00
Conut Jnah,Holder,Holders,ENGLAND HOLDER,1.0,0.00
Conut Jnah,ITEMS,ITEMS,CLASSIC CHIMNEY,291.0,173
Conut Jnah,ITEMS,ITEMS,MINI THE ONE,255.0,129
Conut Jnah,ITEMS,ITEMS,MINI THE ORIGINAL,219.0,104
Conut Jnah,ITEMS,ITEMS,CONUT THE ORIGINAL,313.0,270
Conut Jnah,ITEMS,ITEMS,CHIMNEY THE ORIGINAL,171.0,203
Conut Jnah,ITEMS,ITEMS,CONUT THE ONE,486.0,434
Conut Jnah,ITEMS,ITEMS,CHIMNEY THE ONE,859.0,1
Conut Jnah,ITEMS,ITEMS,MINI PISTACHIO,61.0,38
Conut Jnah,ITEMS,ITEMS,CONUT PISTACHIO,87.0,88
Conut Jnah,ITEMS,ITEMS,CHIMNEY PISTACHIO,117.0,167
Conut Jnah,ITEMS,ITEMS,MINI BOSTON CHEESECAKE,53.0,28
Conut Jnah,ITEMS,ITEMS,CONUT BOSTON CHEESECAKE,95.0,87
Conut Jnah,ITEMS,ITEMS,CHIMNEY BOSTON CHEESECAKE,84.0,110
Conut Jnah,ITEMS,ITEMS,MINI BERRY MIX,122.0,61
Conut Jnah,ITEMS,ITEMS,CONUT BERRY MIX,158.0,141
Conut Jnah,ITEMS,ITEMS,CHIMNEY BERRY MIX,102.0,127
Conut Jnah,ITEMS,ITEMS,ICE CREAM BOWL,271.0,161
Conut Jnah,ITEMS,ITEMS,CONUT BITES,50.0,32
Conut Jnah,ITEMS,ITEMS,CINNAMON SUGAR RINGS,13.0,5
Conut Jnah,ITEMS,ITEMS,CHOCOLATE CHIPS RINGS,8.0,3
Conut Jnah,ITEMS,ITEMS,CONUT TRIPLE CHOCOLATE,226.0,208
Conut Jnah,ITEMS,ITEMS,MINI TRIPLE CHOCOLATE,124.0,66
Conut Jnah,ITEMS,ITEMS,CHIMNEY TRIPLE CHOCOLATE,240.0,314
Conut Jnah,ITEMS,ITEMS,CHIMNEY COMBO.,3.0,11
Conut Jnah,ITEMS,ITEMS,CONUT COMBO,13.0,35
Conut Jnah,ITEMS,ITEMS,THE SHARING BOX.,47.0,78
Conut Jnah,ITEMS,ITEMS,THE ONE CONUT,13.0,0.00
Conut Jnah,ITEMS,ITEMS,THE ONE MINI,47.0,0.00
Conut Jnah,ITEMS,ITEMS,THE ONE CHIMNEY,3.0,0.00
Conut Jnah,ITEMS,ITEMS,PISTACHIO CONUT,13.0,0.00
Conut Jnah,ITEMS,ITEMS,PISTACHIO MINI,46.0,0.00
Conut Jnah,ITEMS,ITEMS,PISTACHIO CHIMNEY,3.0,0.00
Conut Jnah,ITEMS,ITEMS,TRIPLE CHOCOLATE CONUT,13.0,0.00
Conut Jnah,ITEMS,ITEMS,TRIPLE CHOCOLATE MINI,47.0,0.00
Conut Jnah,ITEMS,ITEMS,TRIPLE CHOCOLATE CHIMNEY,3.0,0.00
Conut Jnah,ITEMS,ITEMS,BOSTON CHEESECAKE CONUT,13.0,0.00
Conut Jnah,ITEMS,ITEMS,BOSTON CHEESECAKE MINI,47.0,0.00
Conut Jnah,ITEMS,ITEMS,BOSTON CHEESECAKE CHIMNEY,3.0,0.00
Conut Jnah,ITEMS,ITEMS,TIRAMISU MINI CONUT,88.0,52
Conut Jnah,ITEMS,ITEMS,TIRAMISU CONUT,137.0,130
Conut Jnah,ITEMS,ITEMS,TIRAMISU CHIMNEY,120.0,157
Conut Jnah,EXTRA MINI SPREAD,EXTRA MINI SPREAD,NUTELLA SPREAD MINI,3.0,178
Conut Jnah,EXTRA MINI SPREAD,EXTRA MINI SPREAD,PISTACHIO SPREAD MINI,1.0,90
Conut Jnah,EXTRA MINI SPREAD,EXTRA MINI SPREAD,NO SPREAD,.,59.0
Conut Jnah,EXTRA CONUT SPREAD,EXTRA CONUT SPREAD,NUTELLA SPREAD CONUT,16.0,1
Conut Jnah,EXTRA CONUT SPREAD,EXTRA CONUT SPREAD,LOTUS SPREAD CONUT,6.0,540
Conut Jnah,EXTRA CONUT SPREAD,EXTRA CONUT SPREAD,WHITE CHOCOLATE SPREAD CONUT,0.0,0.00
Conut Jnah,EXTRA CONUT SPREAD,EXTRA CONUT SPREAD,PISTACHIO SPREAD CONUT,1.0,119
Conut Jnah,EXTRA CONUT SPREAD,EXTRA CONUT SPREAD,NO SPREAD..,167.0,0.00
Conut Jnah,EXTRA CHIMNEY SPREAD,EXTRA CHIMNEY SPREAD,NUTELLA SPREAD CHIMNEY,12.0,2
Conut Jnah,EXTRA CHIMNEY SPREAD,EXTRA CHIMNEY SPREAD,LOTUS SPREAD CHIMNEY,17.0,3
Conut Jnah,EXTRA CHIMNEY SPREAD,EXTRA CHIMNEY SPREAD,WHITE CHOCOLATE SPREAD CHIMNEY,4.0,715
Conut Jnah,EXTRA CHIMNEY SPREAD,EXTRA CHIMNEY SPREAD,PISTACHIO SPREAD CHIMNEY,5.0,1
Conut Jnah,EXTRA CHIMNEY SPREAD,EXTRA CHIMNEY SPREAD,NO SPREAD,184.0,0.00
Conut Jnah,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,CRUSHED OREO (R),1.0,90
Conut Jnah,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,CRUSHED LOTUS (R),5.0,450
Conut Jnah,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,BROWNIES (R),9.0,810
Conut Jnah,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,PEANUT BUTTER CUPS (P),2.0,238
Conut Jnah,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,CRISPY CREPE (R),1.0,90
Conut Jnah,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,STRAWBERRIES (R),19.0,1
Conut Jnah,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,BLUEBERRIES (P),12.0,1
Conut Jnah,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,RASPBERRIES (P),9.0,1
Conut Jnah,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,SPRINKLES (R),8.0,720
Conut Jnah,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,DARK CHOCOLATE SAUCE (R),1.0,90
Conut Jnah,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,WHIPPED  CREAM (P),6.0,715
Conut Jnah,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,SALTED CARAMEL SAUCE (R),2.0,180
Conut Jnah,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,NUTELLA SAUCE (R),7.0,630
Conut Jnah,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,PISTACHIO SAUCE (P),4.0,476
Conut Jnah,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,LOTUS SAUCE (R),3.0,270
Conut Jnah,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,DARK CHOCOLATE CHIPS (P),1.0,119
Conut Jnah,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,FRUIT LOOPS (R),3.0,270
Conut Jnah,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,GRANOLA BERRIES (P),1.0,119
Conut Jnah,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,RASPBERRY JAM (P),1.0,119
Conut Jnah,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,GUMMY BEARS (R),4.0,360
Conut Jnah,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,MARSHMALLOWS (R),3.0,270
Conut Jnah,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,SALTED PRETZELS (R),1.0,90
Conut Jnah,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,CRUSHED OREO.,12.0,2
Conut Jnah,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,CRUSHED LOTUS.,10.0,1
Conut Jnah,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,CRISPY CREPE.,5.0,893
Conut Jnah,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,BROWNIES.,27.0,4
Conut Jnah,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,STRAWBERRY.,129.0,23
Conut Jnah,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,SPRINKLES.,4.0,715
Conut Jnah,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,BLUEBERRIES.,26.0,6
Conut Jnah,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,RASPBERRIES.,16.0,3
Conut Jnah,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,PEANUT BUTTER CUPS.,2.0,476
Conut Jnah,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,SALTED CARAMEL SAUCE.,1.0,178
Conut Jnah,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,DARK CHOCOLATE SAUCE.,1.0,178
Conut Jnah,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,NUTELLA SAUCE.,40.0,7
Conut Jnah,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,LOTUS SAUCE.,7.0,1
Conut Jnah,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,WHIPPED  CREAM.,5.0,1
Conut Jnah,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,CARAMEL SAUCE.,1.0,178
Conut Jnah,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,PISTACHIO SAUCE.,11.0,2
Conut Jnah,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,DARK CHOCOLATE CHIPS.,2.0,476
Conut Jnah,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,FRUIT LOOPS.,5.0,893
Conut Jnah,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,GRANOLA BERRIES.,1.0,238
Conut Jnah,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,GUMMY BEARS.,8.0,1
Conut Jnah,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,MARSHMALLOWS.,8.0,1
Conut Jnah,EXTRA DIP,EXTRA DIP,NUTELLA DIP (R),4.0,476
Conut Jnah,EXTRA DIP,EXTRA DIP,LOTUS DIP (R),4.0,476
Conut Jnah,EXTRA DIP,EXTRA DIP,WHITE CHOCOLATE DIP (R),2.0,238
Conut Jnah,EXTRA DIP,EXTRA DIP,CARAMEL DIP (R),0.0,0.00
Conut Jnah,EXTRA DIP,EXTRA DIP,DARK CHOCOLATE DIP (R),0.0,0.00
Conut Jnah,EXTRA DIP,EXTRA DIP,PISTACHIO DIP (P),4.0,953
Conut Jnah,EXTRA DIP,EXTRA DIP,RASPBERRY JAM DIP (P),1.0,238
Conut Jnah,EXTRA DIP,EXTRA DIP,CHERRY JAM DIP (P),3.0,715
Conut Jnah,free mini spread,FREE MINI SPREAD,NUTELLA SPREAD MINI.,575.0,0.00
Conut Jnah,free mini spread,FREE MINI SPREAD,LOTUS SPREAD MINI.,14.0,0.00
Conut Jnah,free mini spread,FREE MINI SPREAD,WHITE CHOCOLATE SPREAD MINI.,122.0,0.00
Conut Jnah,free mini spread,FREE MINI SPREAD,PISTACHIO SPREAD MINI.,2.0,60
Conut Jnah,free mini spread,FREE MINI SPREAD,NO SPREAD .,58.0,0.00
Conut Jnah,FREE CONUT TOP,FREE CONUT TOP,STRAWBERRY,(R),789.0
Conut Jnah,FREE CONUT TOP,FREE CONUT TOP,BLUEBERRIES,(P),60.0
Conut Jnah,FREE CONUT TOP,FREE CONUT TOP,CRUSHED OREO,(R),51.0
Conut Jnah,FREE CONUT TOP,FREE CONUT TOP,CRUSHED LOTUS,(R),148.0
Conut Jnah,FREE CONUT TOP,FREE CONUT TOP,SPRINKLES,(R),41.0
Conut Jnah,FREE CONUT TOP,FREE CONUT TOP,BROWNIES,(R),635.0
Conut Jnah,FREE CONUT TOP,FREE CONUT TOP,SALTED CARAMEL SAUCE . (R),7.0,0.00
Conut Jnah,FREE CONUT TOP,FREE CONUT TOP,WHIPPED CREAM . (P),11.0,335
Conut Jnah,FREE CONUT TOP,FREE CONUT TOP,LOTUS SAUCE,(R),50.0
Conut Jnah,FREE CONUT TOP,FREE CONUT TOP,WHITE CHOCOLATE SAUCE,(R),34.0
Conut Jnah,FREE CONUT TOP,FREE CONUT TOP,CARAMEL SAUCE,(R),353.0
Conut Jnah,FREE CONUT TOP,FREE CONUT TOP,NO TOPPINGS.,89.0,0.00
Conut Jnah,FREE CONUT TOP,FREE CONUT TOP,RASPBERRIES,(P),38.0
Conut Jnah,FREE CONUT TOP,FREE CONUT TOP,DARK CHOCOLATE CHIPS,(P),20.0
Conut Jnah,FREE CONUT TOP,FREE CONUT TOP,GRANOLA BERRIES,(P),13.0
Conut Jnah,FREE CONUT TOP,FREE CONUT TOP,PEANUT BUTTER CUP,(P),6.0
Conut Jnah,FREE CONUT TOP,FREE CONUT TOP,PISTACHIO SAUCE . (P),39.0,1
Conut Jnah,FREE CONUT TOP,FREE CONUT TOP,PASSION FRUITS SAUCE,(P),11.0
Conut Jnah,FREE CONUT TOP,FREE CONUT TOP,RASPBERRY JAM,(P),6.0
Conut Jnah,FREE CONUT TOP,FREE CONUT TOP,CHERRY JAM,(P),1.0
Conut Jnah,FREE CONUT TOP,FREE CONUT TOP,GUMMY BEARS . (R),28.0,0.00
Conut Jnah,FREE CONUT TOP,FREE CONUT TOP,MARSHMALLOWS,(R),39.0
Conut Jnah,FREE CONUT TOP,FREE CONUT TOP,CRISPY CREPE . (R),11.0,0.00
Conut Jnah,FREE CONUT TOP,FREE CONUT TOP,NUTELLA SAUCE . (R),829.0,0.00
Conut Jnah,FREE CONUT TOP,FREE CONUT TOP,DARK CHOCOLATE SAUCE,(R),10.0
Conut Jnah,FREE CONUT TOP,FREE CONUT TOP,FRUIT LOOPS . (R),14.0,0.00
Conut Jnah,FREE CONUT TOP,FREE CONUT TOP,WHIPPED CREAM,118.0,0.00
Conut Jnah,FREE CONUT TOP,FREE CONUT TOP,SWITCH TO ICE CREAM,20.0,7
Conut Jnah,FREE CONUT TOP,FREE CONUT TOP,PISTACHIO TOPPING,67.0,0.00
Conut Jnah,FREE CHIMNEY TOP,FREE CHIMNEY TOP,SALTED CARAMEL SAUCE,(R),2.0
Conut Jnah,FREE CHIMNEY TOP,FREE CHIMNEY TOP,STRAWBERRY,(R),989.0
Conut Jnah,FREE CHIMNEY TOP,FREE CHIMNEY TOP,BROWNIES . (R),418.0,0.00
Conut Jnah,FREE CHIMNEY TOP,FREE CHIMNEY TOP,CRUSHED OREO .(R),17.0,0.00
Conut Jnah,FREE CHIMNEY TOP,FREE CHIMNEY TOP,CRUSHED LOTUS .(R),107.0,0.00
Conut Jnah,FREE CHIMNEY TOP,FREE CHIMNEY TOP,SPRINKLES .(R),6.0,0.00
Conut Jnah,FREE CHIMNEY TOP,FREE CHIMNEY TOP,NUTELLA SAUCE,(R),613.0
Conut Jnah,FREE CHIMNEY TOP,FREE CHIMNEY TOP,LOTUS SAUCE,(R),33.0
Conut Jnah,FREE CHIMNEY TOP,FREE CHIMNEY TOP,WHITE CHOCOLATE SAUCE .(R),59.0,0.00
Conut Jnah,FREE CHIMNEY TOP,FREE CHIMNEY TOP,CARAMEL SAUCE,(R),529.0
Conut Jnah,FREE CHIMNEY TOP,FREE CHIMNEY TOP,NO TOPPINGS,81.0,0.00
Conut Jnah,FREE CHIMNEY TOP,FREE CHIMNEY TOP,BLUEBERRIES,(P),36.0
Conut Jnah,FREE CHIMNEY TOP,FREE CHIMNEY TOP,RASPBERRIES,(P),26.0
Conut Jnah,FREE CHIMNEY TOP,FREE CHIMNEY TOP,DARK CHOCOLATE CHIPS,(P),3.0
Conut Jnah,FREE CHIMNEY TOP,FREE CHIMNEY TOP,PEANUT BUTTER CUPS,(P),3.0
Conut Jnah,FREE CHIMNEY TOP,FREE CHIMNEY TOP,WHIPPED CREAM,12.0,715
Conut Jnah,FREE CHIMNEY TOP,FREE CHIMNEY TOP,PISTACHIO SAUCE,(P),92.0
Conut Jnah,FREE CHIMNEY TOP,FREE CHIMNEY TOP,PASSION FRUIT SAUCE,(P),3.0
Conut Jnah,FREE CHIMNEY TOP,FREE CHIMNEY TOP,RASPBERRY JAM,(P),2.0
Conut Jnah,FREE CHIMNEY TOP,FREE CHIMNEY TOP,CHERRY JAM,(P),3.0
Conut Jnah,FREE CHIMNEY TOP,FREE CHIMNEY TOP,GUMMY BEARS,(R),3.0
Conut Jnah,FREE CHIMNEY TOP,FREE CHIMNEY TOP,MARSHMALLOWS,(R),9.0
Conut Jnah,FREE CHIMNEY TOP,FREE CHIMNEY TOP,CRISPY CREPE,(R),3.0
Conut Jnah,FREE CHIMNEY TOP,FREE CHIMNEY TOP,DARK CHOCOLATE SAUCE,(R),5.0
Conut Jnah,FREE CHIMNEY TOP,FREE CHIMNEY TOP,FRUIT LOOPS,(R),4.0
Conut Jnah,FREE CHIMNEY TOP,FREE CHIMNEY TOP,WHIPPED CREAM,76.0,0.00
Conut Jnah,FREE CHIMNEY TOP,FREE CHIMNEY TOP,SWITCH TO ICE CREAM,13.0,3
Conut Jnah,FREE MINI TOP,FREE MINI TOP,NUTELLA SAUCE,(R),482.0
Conut Jnah,FREE MINI TOP,FREE MINI TOP,BLUEBERRIES .(P),4.0,121
Conut Jnah,FREE MINI TOP,FREE MINI TOP,RASPBERRIES .(P),4.0,121
Conut Jnah,FREE MINI TOP,FREE MINI TOP,DARK CHOCOLATE CHIPS .(P),2.0,60
Conut Jnah,FREE MINI TOP,FREE MINI TOP,PEANUT BUTTER CUP .(P),1.0,30
Conut Jnah,FREE MINI TOP,FREE MINI TOP,WHIPPED CREAM,(P),6.0
Conut Jnah,FREE MINI TOP,FREE MINI TOP,PISTACHIO SAUCE,(P),19.0
Conut Jnah,FREE MINI TOP,FREE MINI TOP,PASSION FRUITS SAUCE .(P),2.0,60
Conut Jnah,FREE MINI TOP,FREE MINI TOP,RASPBERRY JAM .(P),2.0,60
Conut Jnah,FREE MINI TOP,FREE MINI TOP,GUMMY BEARS,(R),1.0
Conut Jnah,FREE MINI TOP,FREE MINI TOP,MARSHMALLOWS .(R),4.0,0.00
Conut Jnah,FREE MINI TOP,FREE MINI TOP,CRISPY CREPE,(R),3.0
Conut Jnah,FREE MINI TOP,FREE MINI TOP,SALTED PRETZELS,(R),1.0
Conut Jnah,FREE MINI TOP,FREE MINI TOP,STRAWBERRY .(R),361.0,0.00
Conut Jnah,FREE MINI TOP,FREE MINI TOP,BROWNIES,(R),319.0
Conut Jnah,FREE MINI TOP,FREE MINI TOP,CRUSHED OREO,(R),3.0
Conut Jnah,FREE MINI TOP,FREE MINI TOP,CRUSHED LOTUS,(R),54.0
Conut Jnah,FREE MINI TOP,FREE MINI TOP,SPRINKLES,(R),12.0
Conut Jnah,FREE MINI TOP,FREE MINI TOP,LOTUS SAUCE .(R),11.0,0.00
Conut Jnah,FREE MINI TOP,FREE MINI TOP,WHITE CHOCOLATE SAUCE,(R),3.0
Conut Jnah,FREE MINI TOP,FREE MINI TOP,CARAMEL SAUCE,(R),178.0
Conut Jnah,FREE MINI TOP,FREE MINI TOP,SALTED CARAMEL SAUCE  .(R),1.0,0.00
Conut Jnah,FREE MINI TOP,FREE MINI TOP,DARK CHOCOLATE SAUCE .(R),6.0,0.00
Conut Jnah,FREE MINI TOP,FREE MINI TOP,FRUIT LOOPS,(R),1.0
Conut Jnah,FREE MINI TOP,FREE MINI TOP,NO TOPPINGS,34.0,0.00
Conut Jnah,FREE MINI TOP,FREE MINI TOP,WHIPPED CREAM  .,105.0,0.00
Conut Jnah,FREE MINI TOP,FREE MINI TOP,switch to ice cream.,7.0,2
Conut Jnah,FREE MINI TOP,FREE MINI TOP,PISTACHIO TOPPING.,42.0,0.00
Conut Jnah,free dip,free dip,NUTELLA DIP.(R),45.0,0.00
Conut Jnah,free dip,free dip,LOTUS DIP.(R),7.0,0.00
Conut Jnah,free dip,free dip,WHITE CHOCOLATE DIP.(R),6.0,0.00
Conut Jnah,free dip,free dip,CARAMEL DIP.(R),6.0,0.00
Conut Jnah,free dip,free dip,SALTED CARAMEL DIP.(R),1.0,0.00
Conut Jnah,free dip,free dip,DARK CHOCOLATE DIP.(R),3.0,0.00
